Name,Price,Liquor Type
FRAGOLINO BIANCO(C&B) 750ML(7%),"KSh1,800.00",Wine
FRAGOLINO ROSSO (C&B) 750ML(7%),"KSh1,800.00",Wine
Shiraz Dry Red(Organic wine) 750ml,"KSh1,650.00",Wine
NABYGELEGEN UPPER VALLEY DRY WHITE 750ML(12%),"KSh1,650.00",Wine
THE GUV’NOR BLANCO 750ML(12.5%),"KSh1,650.00",Wine
VAN LOVEREN SPARKLING BRUT 750ML(13%),"KSh1,650.00",Wine
FRONTERA SPARKLING MOSCATO 750ML(12%),"KSh1,650.00",Wine
TERRA ARGENTA MALBEC 750ML(13.5%),"KSh1,650.00",Wine
NABYGELEGEN UPPER VALLEY DRY RED 750ML(13%),"KSh1,650.00",Wine
ZAPALLAR CHARDONNY 750ML(13%),"KSh1,650.00",Wine
WELMOED PINOTAGE 750ML(13%),"KSh1,650.00",Wine
FRONTERA SPARKLING SWEET ROSE 750ML(12%),"KSh1,650.00",Wine
WELMOED CHENIN BLANC 750ML(13%),"KSh1,650.00",Wine
WELMOED MERLOT 750ML(13%),"KSh1,650.00",Wine
WELMOED CHARDONNY 750ML(13.5%),"KSh1,650.00",Wine
WELMOED PINOT GRIGIO 750ML(12.81%),"KSh1,650.00",Wine
WELMOED SAUVIGNON BLANC 750ML(13.45%),"KSh1,650.00",Wine
WELMOED ROSE 750ML(13.32%),"KSh1,650.00",Wine
ISRAEL SHIRAZ 750ML(13%),"KSh1,650.00",Wine
EFRAT SHIRAZ 750ML(13%),"KSh1,650.00",Wine
LOUIS MONTFORT SEMI SWEET 750ML(12%),"KSh1,630.00",Wine
NEDERBURG CUVEE BRUT DRY WHITE 750ML(10.65%),"KSh1,610.00",Wine
ROCHE MAZET MERLOT (12%),"KSh1,600.00",Wine
GRAN VERANO CABERNET SAUVIGNON 1.5LTR(13%),"KSh1,600.00",Wine
GRAN VERANO CARMENERE 1.5L (13.5%),"KSh1,600.00",Wine
STANLEY DRY RED 4LTRS(10.5%),"KSh1,600.00",Wine
NEDERBURG EDELROOD 750ML(14.5%),"KSh1,600.00",Wine
THE BEACH HOUSE SHIRAZ 750ML(13.5%),"KSh1,600.00",Wine
SWEET LIPS NATURAL SWEET RED 1LTR(9.5%),"KSh1,600.00",Wine
CARLO ROSSI SMOOTH RED 750ML(12%),"KSh1,600.00",Wine
ALTAR WINE 750ML(19%),"KSh1,900.00",Wine
LINDEMANS BIN 35 R0SE 750ML(12.5%),"KSh1,570.00",Wine
MATEUS ROSE 750ML(11%),"KSh1,560.00",Wine
THE GUV’NOR ROSE 750ML(13%),"KSh1,550.00",Wine
BIRDS AND BEES SWEET RED 750 ML(12.5%),"KSh1,550.00",Wine
BIRDS AND BEES WHITE 750ML(12.5%),"KSh1,550.00",Wine
VAN LOVEREN RED MUSCADEL 750ML(16%),"KSh1,550.00",Wine
35 SOUTH CHARDONNAY 750ML(12.5%),"KSh1,550.00",Wine
MAISON CASTEL CABERNET SAUVIGNON (13%),"KSh1,550.00",Wine
HARDYS VARIETAL RANGE MERLOT 750ML(13%),"KSh1,600.00",Wine
ROCHE MAZET CHARDONNAY 750ML (12.5%),"KSh1,600.00",Wine
SION BLEND 750ML(13.5%),"KSh1,600.00",Wine
ESPARGUEIRA RED SELECTION 750ML(13.5%),"KSh1,700.00",Wine
ESPARGUERA WHITE SELECTION 750ML(12%),"KSh1,570.00",Wine
LEOPARD’S LEAP CHENIN BLANC 750ML(13%),"KSh1,500.00",Wine
PIERRE MARCEL SWEET ROSE 750ML(11%),"KSh1,900.00",Wine
LEOPARD’S LEAP MERLOT 750ML (13.5%),"KSh1,500.00",Wine
ROSSO NOBILE ALLA NOCCIOLA 750ML(10%),"KSh1,500.00",Wine
QUEREU CAMENERE ST 750ML(13%),"KSh1,500.00",Wine
KLEINE RUST CHENIN BLANC SAUVIGNON BLANC 1.5LTRS(13.2%),"KSh1,500.00",Wine
ROSSO NOBILE AL CIOCCOLATA SWEET RED 750ML(10%),"KSh1,500.00",Wine
BALBI MOSCATO D’ASTI D.O.C.G 750ML(5.5%),"KSh1,500.00",Wine
BLOSSOM HILL ROSE 750ML(11%),"KSh1,500.00",Wine
BLOSSOM HILL WHITE 750ML(5.5%),"KSh1,500.00",Wine
TILIA CHARDONNAY 750ML (12.5%),"KSh1,500.00",Wine
NEDERBURG FOUNDATION DUET 750ML(14%),"KSh1,700.00",Wine
DROSTDY HOF CLARET 2LTRS (11.5%),"KSh1,500.00",Wine
VAN LOVEREN CABERNET SAUVIGNON 750ML(13%),"KSh1,500.00",Wine
KLEIN RUST PINOTAGE SHIRAZ 1.5LTR,"KSh1,500.00",Wine
KUMALA CAPE MEDIUM SWEET RED 750ML(12.5%),"KSh1,500.00",Wine
